id,app,name,applied
1,contenttypes,0001_initial,2023-01-02 13:52:53.003311
2,auth,0001_initial,2023-01-02 13:52:53.038044
3,admin,0001_initial,2023-01-02 13:52:53.067057
4,admin,0002_logentry_remove_auto_add,2023-01-02 13:52:53.089818
5,admin,0003_logentry_add_action_flag_choices,2023-01-02 13:52:53.106350
6,app,0001_initial,2023-01-02 13:52:53.118353
7,contenttypes,0002_remove_content_type_name,2023-01-02 13:52:53.150689
8,auth,0002_alter_permission_name_max_length,2023-01-02 13:52:53.172300
9,auth,0003_alter_user_email_max_length,2023-01-02 13:52:53.192943
10,auth,0004_alter_user_username_opts,2023-01-02 13:52:53.211585
11,auth,0005_alter_user_last_login_null,2023-01-02 13:52:53.238385
12,auth,0006_require_contenttypes_0002,2023-01-02 13:52:53.249839
13,auth,0007_alter_validators_add_error_messages,2023-01-02 13:52:53.263836
14,auth,0008_alter_user_username_max_length,2023-01-02 13:52:53.284820
15,auth,0009_alter_user_last_name_max_length,2023-01-02 13:52:53.305820
16,auth,0010_alter_group_name_max_length,2023-01-02 13:52:53.330412
17,auth,0011_update_proxy_permissions,2023-01-02 13:52:53.355153
18,auth,0012_alter_user_first_name_max_length,2023-01-02 13:52:53.393391
19,sessions,0001_initial,2023-01-02 13:52:53.422784
